Customer ID,Month,offers
gxvosfxjewyla11,14,"['E', 'F', 'J']"
lkbosigyuaztq12,10,"['F', 'D', 'E']"
lkbosigyuaztq12,12,"['F', 'J', 'E']"
lkbosigyuaztq12,13,"['C', 'E', 'I']"
lkbosigyuaztq12,14,"['I', 'C', 'B']"
teequpgyuzwce14,2,"['F', 'E', 'D']"
teequpgyuzwce14,3,"['G', 'H', 'E']"
teequpgyuzwce14,6,"['E', 'F', 'J']"
teequpgyuzwce14,7,"['J', 'E', 'F']"
teequpgyuzwce14,8,"['A', 'D', 'C']"
teequpgyuzwce14,9,"['D', 'I', 'E']"
teequpgyuzwce14,10,"['E', 'B', 'H']"
teequpgyuzwce14,11,"['F', 'J', 'E']"
teequpgyuzwce14,12,"['F', 'E', 'D']"
teequpgyuzwce14,13,"['F', 'J', 'E']"
teequpgyuzwce14,14,"['E', 'F', 'J']"
mdvfozdhmhkes16,6,"['F', 'E', 'J']"
mdvfozdhmhkes16,8,"['F', 'D', 'E']"
mdvfozdhmhkes16,9,"['F', 'E', 'J']"
mdvfozdhmhkes16,10,"['F', 'D', 'E']"
mdvfozdhmhkes16,11,"['F', 'E', 'D']"
mdvfozdhmhkes16,12,"['F', 'E', 'D']"
mdvfozdhmhkes16,14,"['E', 'F', 'A']"
pmrwmbcxiuxgx17,7,"['F', 'E', 'D']"
pmrwmbcxiuxgx17,9,"['E', 'D', 'H']"
pmrwmbcxiuxgx17,10,"['F', 'E', 'J']"
pmrwmbcxiuxgx17,12,"['E', 'F', 'J']"
pmrwmbcxiuxgx17,13,"['E', 'C', 'H']"
pmrwmbcxiuxgx17,14,"['F', 'J', 'E']"
ucpurmfkdlnwi18,13,"['C', 'D', 'E']"
ucpurmfkdlnwi18,14,"['E', 'J', 'F']"
riweiqtwcpxnm19,2,"['E', 'F', 'J']"
riweiqtwcpxnm19,3,"['F', 'E', 'H']"
riweiqtwcpxnm19,4,"['F', 'J', 'E']"
riweiqtwcpxnm19,5,"['E', 'F', 'A']"
riweiqtwcpxnm19,8,"['F', 'E', 'A']"
riweiqtwcpxnm19,9,"['E', 'A', 'D']"
riweiqtwcpxnm19,10,"['F', 'E', 'J']"
riweiqtwcpxnm19,11,"['F', 'J', 'E']"
riweiqtwcpxnm19,12,"['D', 'E', 'I']"
riweiqtwcpxnm19,13,"['E', 'G', 'I']"
riweiqtwcpxnm19,14,"['D', 'H', 'C']"
sirifvlkipkel21,11,"['E', 'C', 'J']"
sirifvlkipkel21,13,"['E', 'F', 'J']"
sirifvlkipkel21,14,"['E', 'B', 'C']"
nfhyvxuubmklt23,7,"['E', 'F', 'A']"
dnnrchjlmrylq24,10,"['F', 'E', 'D']"
dnnrchjlmrylq24,11,"['F', 'E', 'J']"
dnnrchjlmrylq24,12,"['D', 'I', 'E']"
dnnrchjlmrylq24,13,"['F', 'G', 'E']"
pmjtlwcmmdtqy25,2,"['F', 'E', 'J']"
pmjtlwcmmdtqy25,3,"['F', 'G', 'E']"
pmjtlwcmmdtqy25,4,"['E', 'A', 'D']"
pmjtlwcmmdtqy25,5,"['E', 'F', 'A']"
pmjtlwcmmdtqy25,6,"['G', 'E', 'H']"
pmjtlwcmmdtqy25,7,"['E', 'H', 'D']"
pmjtlwcmmdtqy25,8,"['F', 'E', 'A']"
pmjtlwcmmdtqy25,10,"['E', 'J', 'F']"
pmjtlwcmmdtqy25,11,"['F', 'E', 'H']"
pmjtlwcmmdtqy25,12,"['F', 'H', 'D']"
pmjtlwcmmdtqy25,13,"['E', 'J', 'F']"
kzxgwhhdwzqop26,9,"['E', 'J', 'G']"
kzxgwhhdwzqop26,10,"['G', 'I', 'H']"
sxhdnqbwzktrq27,10,"['D', 'F', 'A']"
sxhdnqbwzktrq27,11,"['G', 'E', 'H']"
